File,Year,Average Data,Is Leap Year
30 best from 806 c.xlsx,2004,1.33989071,TRUE
30 best from 806 c.xlsx,2005,4.488165362,FALSE
30 best from 806 c.xlsx,2006,1.776986301,FALSE
30 best from 806 c.xlsx,2007,1.841369863,FALSE
30 best from 806 c.xlsx,2008,1.427322404,TRUE
30 best from 806 c.xlsx,2009,1.677808219,FALSE
30 best from 806 c.xlsx,2010,2.242739726,FALSE
30 best from 807 c.xlsx,1981,7.155068493,FALSE
30 best from 807 c.xlsx,1982,6.388493151,FALSE
30 best from 807 c.xlsx,1983,6.650958904,FALSE
30 best from 807 c.xlsx,1984,6.453005464,TRUE
30 best from 807 c.xlsx,1985,6.035616438,FALSE
30 best from 807 c.xlsx,1986,6.82109589,FALSE
30 best from 807 c.xlsx,1987,8.239452055,FALSE
30 best from 807 c.xlsx,1988,7.433060109,TRUE
30 best from 807 c.xlsx,1989,6.75890411,FALSE
30 best from 807 c.xlsx,1990,7.856986301,FALSE
30 best from 807 c.xlsx,1991,5.561643836,FALSE
30 best from 807 c.xlsx,1992,4.793169399,TRUE
30 best from 807 c.xlsx,1993,6.586849315,FALSE
30 best from 807 c.xlsx,1994,6.424931507,FALSE
30 best from 807 c.xlsx,1995,8.327945205,FALSE
30 best from 807 c.xlsx,1996,6.632240437,TRUE
30 best from 807 c.xlsx,1997,4.696986301,FALSE
30 best from 807 c.xlsx,1998,8.760273973,FALSE
